"","BabProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"57","NP_001162425","PSMB4",528.558085243354,-0.406176679021423,0.0705010494009863,-5.7612855762079,8.34756630491291e-09,2.86896471908909e-08,TRUE,"3JCJQ","PSMB4","PSMB4_3JCJQ"
"61","NP_001162442","MFAP1",279.410990831022,-0.253004295919211,0.0328464269718456,-7.70264285171945,1.33280488147786e-14,6.09939793419224e-14,TRUE,"3J8AP","MFAP1","MFAP1_3J8AP"
"62","NP_001162444","EXT1",61.78757174134,-0.90969466005748,0.0687980912793411,-13.2226729425362,6.49153818568588e-40,6.14429241289602e-39,TRUE,"3J92Y","EXT1","EXT1_3J92Y"
"63","NP_001162447","F10",14.9790053774186,0.0992759705252079,0.127717520628312,0.777308939578653,0.436976522069321,0.557069161111569,FALSE,"3JB4F","F10","F10_3JB4F"
"65","NP_001162452","DOLK",89.6920982824996,0.0524202542189114,0.0475495801826635,1.10243358653298,0.270273216638258,0.380687183374025,FALSE,"3JAV7","DOLK","DOLK_3JAV7"
"66","NP_001162454","DOLPP1",25.913698351623,0.288204751150294,0.0823703267508448,3.49889046843363,0.000467198460677327,0.00111726666172805,TRUE,"3JAP9","DOLPP1","DOLPP1_3JAP9"
"68","NP_001162457","NR2E1",1.02004204382994,0.95418137383864,0.760084649528941,1.25536198426056,0.20934738314083,0.307034383061435,FALSE,"3J7K1","NR2E1","NR2E1_3J7K1"
"69","NP_001162463","FZD1",13.8082610717392,1.05114952243852,0.138405641211827,7.59470143872066,3.08502894562464e-14,1.38680946873424e-13,TRUE,"3JDGG","FZD1","FZD1_3JDGG"
"71","NP_001162469","PYGM",67.1927933437278,1.11631304373594,0.0777481306829957,14.3580692414009,9.4832441838664e-47,1.03332270568105e-45,TRUE,"3JD7H","PYGM","PYGM_3JD7H"
"74","NP_001162478","SNX15",260.232683480446,0.0643674835623763,0.0380035217592203,1.69372417562221,0.0903177083096476,0.148723367525144,FALSE,"3J59N","SNX15","SNX15_3J59N"
"80","NP_001162500","PIGT",411.526145492885,0.0253601234339506,0.0327671413438003,0.773949828819865,0.438960461090418,0.558821782553835,FALSE,"3J788","PIGT","PIGT_3J788"
"84","NP_001162528","OSCAR",21.8946733388552,1.4226188278304,0.141389938673126,10.0616694595172,8.1602649705139e-24,5.17655957650791e-23,TRUE,"3JFNZ","OSCAR","OSCAR_3JFNZ"
"88","NP_001162542","MOXD1",2.13861222491063,-0.827118601552899,0.342739476930504,-2.41325746587578,0.0158106465643896,0.0307397735453065,TRUE,"3J8XA","MOXD1","MOXD1_3J8XA"
"90","NP_001162554","GTPBP10",63.2222613380561,-0.346875354059966,0.0619414361910648,-5.60005346001331,2.14285710465481e-08,7.18058831978457e-08,TRUE,"3J2AB","GTPBP10","GTPBP10_3J2AB"
"93","NP_001167451","SLC2A1",126.0074690377,-0.213378206528261,0.0793217707061037,-2.69003332412803,0.00714448842736809,0.0147248196638368,TRUE,"3J4QI","SLC2A1","SLC2A1_3J4QI"
"96","NP_001266460","RSAD2",2370.30838415312,-6.35794285839462,0.143526126807787,-44.2981567175523,0,0,TRUE,"3JEDK","RSAD2","RSAD2_3JEDK"
"100","NP_001276721","OAZ1",20060.817680465,1.04687383838041,0.0421233888454989,24.8525550073894,2.42653179418785e-136,9.94461105755474e-135,TRUE,"3J8RW","OAZ1","OAZ1_3J8RW"
"101","NP_001276925","OAZ2",369.867847440849,0.380409258748516,0.0282510919407787,13.4652939980496,2.50319880998331e-41,2.44999171176537e-40,TRUE,"3JEXY","OAZ2","OAZ2_3JEXY"
"107","NP_001361396","PATZ1",590.84224912323,0.258344110210013,0.0333127823329752,7.75510456099869,8.82707164646481e-15,4.07186731720596e-14,TRUE,"3J8MJ","PATZ1","PATZ1_3J8MJ"
"108","XP_003890908","ADRA2C",3.57591688183938,0.929210145556153,0.273785991499932,3.39392874144324,0.000688976175816831,0.00162113640579886,TRUE,"3J2W0","ADRA2C","ADRA2C_3J2W0"
"109","XP_003890919","NOP14",373.346957238626,-0.387886928266232,0.025005067825717,-15.5123325787304,2.86286792823833e-54,3.59963762911653e-53,TRUE,"3J52T","NOP14","NOP14_3J52T"
"111","XP_003890930","CFAP99",2.07834636427218,0.176129664918497,0.33185649501039,0.530740448256052,0.595598652538698,0.702339400818363,FALSE,"3J3G5","CFAP99","CFAP99_3J3G5"
"114","XP_003890952","SLBP",718.114483459361,0.596361242883182,0.0469464308994848,12.7030155744966,5.68943792963381e-37,5.03354872023834e-36,TRUE,"3JDJU","SLBP","SLBP_3JDJU"
"123","XP_003890997","B3GALT6",178.979865063798,-0.320090062325367,0.0492666623785055,-6.49709249362544,8.18871216542253e-11,3.14875322536931e-10,TRUE,"3J3UP","B3GALT6","B3GALT6_3J3UP"
"124","XP_003891000","UBE2J2",642.030040863163,0.00167743848251422,0.0319108771852136,0.0525663544996967,0.958077425109767,0.974252333889758,FALSE,"3JA1Y","UBE2J2","UBE2J2_3JA1Y"
"126","XP_003891006","TAS1R3",96.4773158781707,0.0155404912243702,0.0567913139339027,0.273642043965689,0.784359720328388,0.8539596516922,FALSE,"3JCCF","TAS1R3","TAS1R3_3JCCF"
"128","XP_003891015","MRPL20",239.9831201347,-0.40972123639906,0.039020431153021,-10.5001719430601,8.62229274872125e-26,5.77498406072961e-25,TRUE,"3J79B","MRPL20","MRPL20_3J79B"
"138","XP_003891062","LRRC47",646.36609914797,-0.160830304023241,0.0245274263917489,-6.55716182588747,5.48414918546584e-11,2.12972853096274e-10,TRUE,"3J3JB","LRRC47","LRRC47_3J3JB"
"140","XP_003891068","AJAP1",11.1644486987452,-0.597819532503374,0.20711990893727,-2.88634509145344,0.00389744555467738,0.00836966519943863,TRUE,"3JFFA","AJAP1","AJAP1_3JFFA"
"144","XP_003891080","GPR153",895.043950601057,0.943209889512589,0.0635458302372372,14.8429863295716,7.72394830367185e-50,8.94328227860102e-49,TRUE,"3J33X","GPR153","GPR153_3J33X"
"145","XP_003891081","ACOT7",59.6742654284818,0.378217023123588,0.0565102228874476,6.69289561778741,2.18797215696086e-11,8.6660403310013e-11,TRUE,"3JCUZ","ACOT7","ACOT7_3JCUZ"
"146","XP_003891083","HES2",21.5968726577958,-0.283836165551252,0.112820214759066,-2.51582720487992,0.0118753388891164,0.023566901005342,TRUE,"3JGSP","HES2","HES2_3JGSP"
"148","XP_003891093","PHF13",183.713270995961,0.0217992264382777,0.0353934911448655,0.615910602010224,0.537953523861721,0.651035945565466,FALSE,"3JD0S","PHF13","PHF13_3JD0S"
"149","XP_003891096","LOC101015506",1.29371656358263,-0.808956038856664,0.486430472327865,-1.66304556329565,0.0963033153210049,0.157298272754681,FALSE,"3JGY9","NDUFB6","NDUFB6_3JGY9"
"150","XP_003891100","VAMP3",720.677381923123,-0.086852771992503,0.0363071050308126,-2.39217012534582,0.016749076738697,0.0324031939631277,TRUE,"3JHCB","VAMP3","VAMP3_3JHCB"
"153","XP_003891109","ERRFI1",36.4833633565077,-0.0988961493312428,0.070344409229612,-1.40588499376595,0.159758278024362,0.244109830072843,FALSE,"3J8EV","ERRFI1","ERRFI1_3J8EV"
"156","XP_003891120","GPR157",99.1305626408524,-0.91809362328683,0.0964927400176255,-9.51463937203078,1.82344244860751e-21,1.07310015505024e-20,TRUE,"3J5KI","GPR157","GPR157_3J5KI"
"159","XP_003891143","PEX14",372.437058335712,-0.508561159115323,0.0570074277022116,-8.92096310277115,4.62250601956197e-19,2.5166859981418e-18,TRUE,"3JCP0","PEX14","PEX14_3JCP0"
"160","XP_003891155","ANGPTL7",2.13851287821762,-0.231496516455146,0.325055503125372,-0.712175349222927,0.476356199654697,0.594747072558828,FALSE,"3J964","ANGPTL7","ANGPTL7_3J964"
"161","XP_003891157","UBIAD1",199.480994393158,-0.0250585616964657,0.0310804248343558,-0.806249008178499,0.42009928580346,0.54090192523531,FALSE,"3J7YC","UBIAD1","UBIAD1_3J7YC"
"162","XP_003891159","FBXO2",12.6112288973568,-0.429350482699105,0.117269728166774,-3.66122177829652,0.000251015350851623,0.000617621018002158,TRUE,"3J35B","FBXO2","FBXO2_3J35B"
"165","XP_003891174","KIAA2013",1294.622550647,0.652154171139403,0.0456554542268098,14.2842554560862,2.74325642094723e-46,2.96744454206047e-45,TRUE,"3JD6J","KIAA2013","KIAA2013_3JD6J"
"166","XP_003891194","LRRC38",7.16048567757849,-1.94424590194919,0.223167867497451,-8.71203333952812,2.98471863354762e-18,1.58308892255677e-17,TRUE,"3J7E4","LRRC38","LRRC38_3J7E4"
"176","XP_003891256","PADI6",0.527007679592788,0.648237614496462,1.28642615690798,0.503905809918037,0.614327567636928,NA,FALSE,"3J8UM","PADI6","PADI6_3J8UM"
"182","XP_003891277","CAPZB",3537.52119056527,0.181518669797292,0.0275022055975851,6.60014954630512,4.10743240753286e-11,1.60423248378048e-10,TRUE,"3JBNN","CAPZB","CAPZB_3JBNN"
"183","XP_003891289","MICOS10",313.905565971976,0.117413316502904,0.0465390737639333,2.52289757846226,0.0116392295609266,0.0231387650847826,TRUE,"3JHSY","MINOS1","MINOS1_3JHSY"
"184","XP_003891290","HTR6",6.9659529343679,-0.218077403603182,0.190052720195525,-1.14745741801972,0.251192622347771,0.357997516027667,FALSE,"3J2VR","HTR6","HTR6_3J2VR"
"189","XP_003891309","DDOST",1371.08079405166,-0.0981962017363998,0.0247732107579197,-3.96380601190372,7.37642013166396e-05,0.000191283293085941,TRUE,"3JA8Z","DDOST","DDOST_3JA8Z"
"190","XP_003891311","PINK1",979.399981926505,0.953371879386558,0.0547947334461301,17.3989691969911,8.40009451217418e-68,1.33751037586368e-66,TRUE,"3J7BM","PINK1","PINK1_3J7BM"
"191","XP_003891312","CDA",165.1376627383,1.40842284623156,0.115358716768127,12.2090717172463,2.78043326941832e-34,2.31237427971289e-33,TRUE,"3JGN5","CDA","CDA_3JGN5"
"196","XP_003891361","ID3",252.501985702548,1.15581322089356,0.0721211421948562,16.0259971725184,8.41303872870561e-58,1.13307622674809e-56,TRUE,"3JGFP","ID3","ID3_3JGFP"
"197","XP_003891365","LYPLA2",851.792892913737,0.0378554057700775,0.0340937021596275,1.11033426621837,0.266855012437089,0.376695612040566,FALSE,"3J604","LYPLA2","LYPLA2_3J604"
"200","XP_003891371","FUCA1",1473.83703555569,2.76348725490404,0.0664545078545994,41.5846470633787,0,0,TRUE,"3J2RC","FUCA1","FUCA1_3J2RC"
"201","XP_003891373","MYOM3",16.0365863571446,0.29171724935624,0.115459549346962,2.52657533314645,0.0115180683118601,0.0229246466433985,TRUE,"3JF6C","MYOM3","MYOM3_3JF6C"
"205","XP_003891402","MACO1",265.088791427652,0.112784869992909,0.0345545726040988,3.26396368101889,0.00109865247912193,0.00252627580565085,TRUE,"3J5DT","TMEM57","TMEM57_3J5DT"
"206","XP_003891403","LDLRAP1",780.318595283446,0.656256333378776,0.0393357031881236,16.6834778633604,1.72855826377792e-62,2.50635694271313e-61,TRUE,"3JCVB","LDLRAP1","LDLRAP1_3JCVB"
"209","XP_003891422","SLC30A2",4.63396390025341,0.727490724930991,0.236004365747247,3.08253079398586,0.0020524849340077,0.00456550131921586,TRUE,"3J5YQ","SLC30A2","SLC30A2_3J5YQ"
"214","XP_003891447","ZDHHC18",4236.7175086099,0.331519892492638,0.0469100520806503,7.06713972354306,1.5815968673077e-12,6.58938838061542e-12,TRUE,"3JB0E","ZDHHC18","ZDHHC18_3JB0E"
"215","XP_003891448","LOC101021911",42.7629227838097,0.0281159548872301,0.0816353606861213,0.344409023870584,0.730538703455835,0.812307545327891,FALSE,"3J6I6","SFN","SFN_3J6I6"
"216","XP_003891450","GPATCH3",223.507237537128,-0.0144853388220151,0.0363933366292188,-0.398021730450113,0.690614167687384,0.78180014844231,FALSE,"3JD7F","GPATCH3","GPATCH3_3JD7F"
"217","XP_003891452","NUDC",691.535917621946,-0.130859815366826,0.0333338812644441,-3.92572993011793,8.64671284992545e-05,0.000222698839106384,TRUE,"3J3TJ","NUDC","NUDC_3J3TJ"
"219","XP_003891455","TENT5B",12.0653913823853,0.812511335217606,0.204902452672535,3.96535680573878,7.32862376310442e-05,0.000190126532518563,TRUE,"3JAI8","FAM46B","FAM46B_3JAI8"
"222","XP_003891466","GPR3",29.6146496886223,0.754338082136249,0.0857890405678421,8.79294228194238,1.45693327639618e-18,7.81794657111397e-18,TRUE,"3J3PH","GPR3","GPR3_3J3PH"
"223","XP_003891467","WASF2",3030.80005856543,0.568531008222577,0.0270060614421232,21.0519778843352,2.19333457156417e-98,5.4044851447261e-97,TRUE,"3JF0P","WASF2","WASF2_3JF0P"
"225","XP_003891475","STX12",500.859175861507,-0.369324679020342,0.0333405456454925,-11.077343572818,1.61596014348041e-28,1.16061069985832e-27,TRUE,"3J4EJ","STX12","STX12_3J4EJ"
"227","XP_003891480","XKR8",579.562008425852,1.34896080010471,0.0696810380869353,19.3590801334177,1.70910063428996e-83,3.37183360869183e-82,TRUE,"3J4E9","XKR8","XKR8_3J4E9"
"230","XP_003891499","RAB42",53.1733828552672,0.675996765786221,0.101963284993005,6.62980567792214,3.36129074021533e-11,1.31799287745547e-10,TRUE,"3J2MA","RAB42","RAB42_3J2MA"
"233","XP_003891516","LAPTM5",13485.6000371699,0.599699868839646,0.0316420137006076,18.952645508403,4.19931681455066e-80,7.92421714087519e-79,TRUE,"3J8DQ","LAPTM5","LAPTM5_3J8DQ"
"234","XP_003891521","NKAIN1",1.09609269748662,0.641400283183846,0.423255072795511,1.5153989270525,0.129671408963597,0.204018631042197,FALSE,"3J4N0","NKAIN1","NKAIN1_3J4N0"
"235","XP_003891522","SNRNP40",266.768569262026,-0.0726807963815072,0.0329302150725982,-2.20711575133277,0.0273059736135149,0.0507323635012897,FALSE,"3JDNA","SNRNP40","SNRNP40_3JDNA"
"238","XP_003891535","PEF1",1100.90868389062,-0.271315952398511,0.0415360433431943,-6.53206060473177,6.48708934388212e-11,2.50859362889553e-10,TRUE,"3J7JS","PEF1","PEF1_3J7JS"
"239","XP_003891539","SPOCD1",1.45481690699166,-0.237535115877468,0.402297741864584,-0.590446058127325,0.554891639720381,0.666831690377394,FALSE,"3J7CE","SPOCD1","SPOCD1_3J7CE"
"241","XP_003891550","CCDC28B",46.5799950425013,0.53529607970784,0.0679229886296892,7.88092648022648,3.24962478474513e-15,1.52578839302639e-14,TRUE,"3J543","CCDC28B","CCDC28B_3J543"
"242","XP_003891552","EIF3I",704.487948808589,-0.0710509572033544,0.0297672271448752,-2.38688531039703,0.0169917911898682,0.0328328097424446,TRUE,"3J3XC","EIF3I","EIF3I_3J3XC"
"246","XP_003891564","MARCKSL1",927.638519596467,-0.387424293175487,0.060879153886608,-6.36382519206975,1.9679009965744e-10,7.43166158491016e-10,TRUE,"3J1P2","MARCKSL1","MARCKSL1_3J1P2"
"247","XP_003891565","FAM229A",8.76656434928132,0.54192837746447,0.154763720200607,3.50164997818618,0.00046238664392311,0.00110653619252072,TRUE,"3JH6P","FAM229A","FAM229A_3JH6P"
"248","XP_003891566","ZBTB8B",3.35416772645168,-0.0912120927048503,0.238521797512277,-0.382405690616832,0.702160470052983,0.790780090264118,FALSE,"3J4VF","ZBTB8B","ZBTB8B_3J4VF"
"251","XP_003891583","LOC101016349",13.3449932088755,-4.05348088636366,0.294036847188878,-13.7856221936697,3.11072981348358e-43,3.18169500476888e-42,TRUE,"3JI7V","TOMM5","TOMM5_3JI7V"
"252","XP_003891602","GJA4",1.31940496139153,-0.484950634948482,0.553174366094437,-0.876668668456867,0.380666629448927,0.500698160671435,FALSE,"3J1GI","GJA4","GJA4_3J1GI"
"256","XP_003891635","TEKT2",40.7748988518142,2.97623750507377,0.175725924108877,16.936815214753,2.40813820674701e-64,3.60344495027163e-63,TRUE,"3J1R7","TEKT2","TEKT2_3J1R7"
"257","XP_003891637","ADPRS",418.247856384947,-0.0561389696961053,0.0414888978959953,-1.35310824203706,0.176021052964196,0.265137616375245,FALSE,"3JAGT","ADPRHL2","ADPRHL2_3JAGT"
"265","XP_003891661","GNL2",316.012656507013,-0.263426240051604,0.0298505615355937,-8.82483365472022,1.09622630099901e-18,5.89697558218952e-18,TRUE,"3JF02","GNL2","GNL2_3JF02"
"266","XP_003891678","RRAGC",454.558791564518,-0.185212776366774,0.0459370643117304,-4.03188099069445,5.53322064551677e-05,0.000145047124779499,TRUE,"3J3CR","RRAGC","RRAGC_3J3CR"
"268","XP_003891686","HEYL",1.22160912814709,0.221473420824313,0.421163964413052,0.525860328845953,0.59898525423987,0.705461005536706,FALSE,"3JCZC","HEYL","HEYL_3JCZC"
"270","XP_003891689","OXCT2",1.89781622778414,0.285867644542142,0.375644920718621,0.761004951152455,0.446654109978455,0.566288940158725,FALSE,"3JGBI","OXCT2","OXCT2_3JGBI"
"272","XP_003891704","TMCO2",4.07892981630724,-0.70894441309016,0.19733571357193,-3.59258038120781,0.000327419608764516,0.000795600296276614,TRUE,"3J62G","TMCO2","TMCO2_3J62G"
"276","XP_003891734","RIMKLA",15.2963059770002,-0.128896215686351,0.127160019055196,-1.01365363613544,0.310748054622308,0.42668600534519,FALSE,"3J5BS","RIMKLA","RIMKLA_3J5BS"
"277","XP_003891737","ZMYND12",10.4678478379495,0.167500329030303,0.140888818047019,1.18888305936673,0.234485687297827,0.337799880016172,FALSE,"3J3YB","ZMYND12","ZMYND12_3J3YB"
"280","XP_003891746","C1H1orf50",91.2392442823778,0.135379647461365,0.0485268331491922,2.78978945617882,0.00527423273577482,0.0111013942122927,TRUE,"3J4NK","C1orf50","C1orf50_3J4NK"
"281","XP_003891758","EBNA1BP2",158.311715185232,-0.247456725823742,0.0440843886127857,-5.6132507132462,1.98560580636949e-08,6.66676093658854e-08,TRUE,"3J8E2","EBNA1BP2","EBNA1BP2_3J8E2"
"285","XP_003891797","KDM4A",675.238034350458,0.160343032015799,0.0238211102312589,6.7311317759401,1.68348409757221e-11,6.70582209340219e-11,TRUE,"3J5SF","KDM4A","KDM4A_3J5SF"
"286","XP_003891798","IPO13",328.672493655837,0.18140533420063,0.0336001145525153,5.39894987313518,6.7032098154234e-08,2.17975406295131e-07,TRUE,"3J407","IPO13","IPO13_3J407"
"290","XP_003891820","PLK3",1571.8732558159,-2.73382776601771,0.0845352823147988,-32.3394882131851,1.94975373879519e-229,1.66686473755351e-227,TRUE,"3J49J","PLK3","PLK3_3J49J"
"291","XP_003891827","HECTD3",892.62001112978,0.182476233909583,0.0353876199264277,5.15649920195137,2.51609555039261e-07,7.89241334402479e-07,TRUE,"3JAD0","HECTD3","HECTD3_3JAD0"
"293","XP_003891838","TOE1",84.4254145637774,-0.168904735459728,0.0484615297707432,-3.48533643611263,0.00049151861801103,0.00117295668602292,TRUE,"3JAEP","TOE1","TOE1_3JAEP"
"294","XP_003891840","PRDX1",604.839210945422,-0.444348309869477,0.0627309338314086,-7.08340020991362,1.40659692558474e-12,5.87465415322134e-12,TRUE,"3JDI9","PRDX1","PRDX1_3JDI9"
"295","XP_003891858","LURAP1",1.91642974359023,0.504177089031333,0.311362750092057,1.61925949357227,0.105391442121791,0.170173075919914,FALSE,"3J7UJ","LURAP1","LURAP1_3J7UJ"
"296","XP_003891860","LRRC41",502.432071205011,-0.210283839188831,0.0293074184733881,-7.1751061725131,7.22510927215157e-13,3.06370322416639e-12,TRUE,"3J5AC","LRRC41","LRRC41_3J5AC"
"298","XP_003891865","NSUN4",131.725028379823,-0.3175139207308,0.0422568091682508,-7.51391141405349,5.7386423826387e-14,2.55131590141096e-13,TRUE,"3JD49","NSUN4","NSUN4_3JD49"
"303","XP_003891923","RNF11",885.240859322279,-0.278289058767956,0.0342205197595245,-8.13222770207926,4.2147216762979e-16,2.05666001274668e-15,TRUE,"3JE3W","RNF11","RNF11_3JE3W"
"306","XP_003891940","GPX7",0.803579234343696,0.318278034340882,0.731723459923573,0.434970383994693,0.66358392452689,0.759382227501577,FALSE,"3J841","GPX7","GPX7_3J841"
"307","XP_003891941","SHISAL2A",6.71688257122205,0.938326491430451,0.187562796404052,5.00273246837868,5.65233575829876e-07,1.72513771601973e-06,TRUE,"3J62Z","FAM159A","FAM159A_3J62Z"
"308","XP_003891943","LOC101010045",88.6060682053454,-0.064360522114009,0.0522317105861774,-1.23221164675088,0.217870033778907,0.317526337876969,FALSE,"3JDVV","COA7","COA7_3JDVV"
"309","XP_003891945","ZYG11B",368.945015479796,0.379493180404214,0.0428536156526923,8.85556970221187,8.32574729397241e-19,4.49492359565029e-18,TRUE,"3JEBH","ZYG11B","ZYG11B_3JEBH"
"311","XP_003891955","CPT2",96.9128292027307,0.190155339306865,0.0448132931648196,4.2432797475403,2.20276560116853e-05,5.97864873908417e-05,TRUE,"3J743","CPT2","CPT2_3J743"
"316","XP_003891989","DHCR24",64.0842141355677,-0.670685625302439,0.081873157801895,-8.19176447212734,2.57424017860055e-16,1.26625648051104e-15,TRUE,"3JDVY","DHCR24","DHCR24_3JDVY"
"318","XP_003892017","LOC101015175",1.25540548787166,-1.73807261578361,0.604100340829852,-2.87712569967437,0.00401315698450244,0.00860222128572709,TRUE,"3J4ZJ","CYP2J2","CYP2J2_3J4ZJ"
"324","XP_003892071","SLC35D1",213.719232616077,-0.0769386240280756,0.0396484097182318,-1.94052232043739,0.0523162442547456,0.0916860439356497,FALSE,"3JAXX","SLC35D1","SLC35D1_3JAXX"
"325","XP_003892082","GADD45A",545.823394083757,1.04615460866897,0.0514740552296163,20.3239205460357,7.90076043563608e-92,1.75791919692903e-90,TRUE,"3J2D4","GADD45A","GADD45A_3J2D4"
"335","XP_003892146","USP33",471.436691509344,0.0176092556567029,0.0304017395809743,0.579218686147911,0.562441623865578,0.673394117681045,FALSE,"3J7GX","USP33","USP33_3J7GX"
"336","XP_003892153","IFI44L",2169.26803679128,-3.96272446170029,0.0806445047267377,-49.1381833781224,0,0,TRUE,"3JB7P","IFI44L","IFI44L_3JB7P"
"339","XP_003892176","CTBS",367.00915071472,0.336847740768534,0.0367420100158935,9.16791815752116,4.82241929927865e-20,2.70263968812017e-19,TRUE,"3J4NM","CTBS","CTBS_3J4NM"
"343","XP_003892185","BCL10",436.731500031997,-0.397808661328176,0.0350009818768204,-11.3656429047674,6.2006257837499e-30,4.60022787539666e-29,TRUE,"3J6Z9","BCL10","BCL10_3J6Z9"
"345","XP_003892189","ZNHIT6",105.458084232237,-0.208099197632858,0.0510669422371108,-4.07502757197846,4.60088955328695e-05,0.000121637943779959,TRUE,"3JD8P","ZNHIT6","ZNHIT6_3JD8P"
"346","XP_003892200","SELENOF",858.738189714056,-0.205939706021697,0.0321969222648101,-6.39625440990615,1.59234613002831e-10,6.04017810010102e-10,TRUE,"3JB1M","SELENOF","SELENOF_3JB1M"
"356","XP_003892264","DR1",1393.71550267244,-0.272906578249797,0.0423052283976102,-6.4508948086713,1.11191661145939e-10,4.25295622458776e-10,TRUE,"3J3Y5","DR1","DR1_3J3Y5"
"358","XP_003892271","GCLM",244.185187290795,-0.0384599368239663,0.0533079061870158,-0.721467781702783,0.470621756345256,0.589129323624806,FALSE,"3J7QV","GCLM","GCLM_3J7QV"
