"","PigProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"32","NP_001001868","PRLR",3.82392400983031,-0.37335735178582,0.576856869243029,-0.647227018854351,0.517485027067749,NA,FALSE,"3J4D7","PRLR","PRLR_3J4D7"
"33","NP_001001869","RNF114",918.878896075617,0.250185788226095,0.0661668019045327,3.78113768573959,0.000156113299321221,0.00100318229744608,TRUE,"3J38C","RNF114","RNF114_3J38C"
"35","NP_001001911","KLK1",19.9324424329696,-0.129639742008856,0.293379146820105,-0.441884651359862,0.658572677934292,0.824977011982957,FALSE,"3JFF8","KLK1","KLK1_3JFF8"
"36","NP_001002817","FABP4",16.3002826759316,0.213774139088726,0.304088367805575,0.703000054330939,0.4820557156165,0.702695878685331,FALSE,"3JGP2","FABP4","FABP4_3JGP2"
"40","NP_001003922","CCL27",0.289737986558261,-0.136744794881634,2.94503884679062,-0.0464322550551931,0.962965728412337,NA,FALSE,"3JHFF","CCL27","CCL27_3JHFF"
"41","NP_001003923","IFNB1",8.38860851479757,5.5273498997676,1.84552848905473,2.99499570586346,0.00274448705437729,0.0126518958525628,TRUE,"3JGHC","IFNB1","IFNB1_3JGHC"
"50","NP_001004041","TTL",107.011032800479,-0.138049686130203,0.120054106829282,-1.1498955743889,0.25018688389827,0.466892845188491,FALSE,"3J7JP","TTL","TTL_3J7JP"
"56","NP_001005150","NFKBIA",6391.43562844021,2.70646386005041,0.172411727586847,15.6976784464219,1.5687887696453e-55,8.11063793906619e-53,TRUE,"3J2QT","NFKBIA","NFKBIA_3J2QT"
"58","NP_001005152","FGL2",1208.87674829646,0.041356259376752,0.0617087825212943,0.670184334984748,0.502740288636298,0.719870085138387,FALSE,"3JCDS","FGL2","FGL2_3JCDS"
"65","NP_001005844","RXFP4",8.09982273462646,0.560256882912982,0.392950635890446,1.42576912146589,0.153934996852826,0.332836192782402,FALSE,"3J5XP","RXFP4","RXFP4_3J5XP"
"66","NP_001006592","MYLPF",1.70504798943662,0.56006995038458,0.919870778459505,0.608857204185267,0.54261909282498,NA,FALSE,"3J2Y4","MYLPF","MYLPF_3J2Y4"
"67","NP_001006593","KCNA5",1.64518398989265,1.33108394745012,0.999263172416717,1.33206545001643,0.182838682347719,NA,FALSE,"3JFT2","KCNA5","KCNA5_3JFT2"
"70","NP_001007519","HSPB1",243.844139504753,-0.11689036926304,0.133801127105282,-0.873612739981362,0.382329185813674,0.614027281706684,FALSE,"3J284","-","-_3J284"
"72","NP_001008691","CXCL10",3249.16442233178,6.67890887754871,0.558946356668149,11.9491053083544,6.56279343525823e-33,8.1037895457276e-31,TRUE,"3JHKD","CXCL10","CXCL10_3JHKD"
"75","NP_001009581","ACBD3",575.3141516851,0.365003297613444,0.0711826929803331,5.12769722991922,2.93307640181767e-07,3.15121010651204e-06,TRUE,"3J51W","ACBD3","ACBD3_3J51W"
"76","NP_001011504","KLF9",167.156218668975,0.281760999736877,0.138969820513389,2.02749775955659,0.04261153334222,0.124485508621852,FALSE,"3JA99","KLF9","KLF9_3JA99"
"77","NP_001011505","KLF13",274.563973961364,-0.386053804635877,0.105640502612609,-3.65441090385157,0.000257773156163473,0.00158997390358099,TRUE,"3JEFM","KLF13","KLF13_3JEFM"
"78","NP_001011506","LOC494564",0.236454704165408,-0.448189069037313,3.04563553241204,-0.147157814606386,0.883007457083945,NA,FALSE,"3J3TE","OPN1LW","OPN1LW_3J3TE"
"80","NP_001011509","HEBP1",728.892638261913,0.185644916238287,0.0713765164299184,2.60092430289118,0.0092972966428697,0.0355175051553963,TRUE,"3JA3W","HEBP1","HEBP1_3JA3W"
"83","NP_001012299","SCG2",0.235718741254701,-0.457326340683859,3.04640178448585,-0.150120165702648,0.88066981034221,NA,FALSE,"3J5E9","SCG2","SCG2_3J5E9"
"84","NP_001012406","MYOG",0.677730256581546,-0.556870764936388,1.38614572072177,-0.401740420658242,0.687875073608186,NA,FALSE,"3J44N","MYOG","MYOG_3J44N"
"87","NP_001020387","LOC574051",62.5482820864798,0.0134085038149563,0.191142397678304,0.0701492917208405,0.944074834181984,0.975786889930685,FALSE,"3JDXQ","HIST1H1C","HIST1H1C_3JDXQ"
"93","NP_001026955","ARL3",9.35586536902476,-0.167634547101055,0.361577536472707,-0.463619916038973,0.64292008282541,0.815691209890994,FALSE,"3J436","ARL3","ARL3_3J436"
"94","NP_001026957","RAB1A",1351.99041999574,0.000598905101707635,0.0653893850824734,0.00915905694712156,0.992692232043255,0.996430085949872,FALSE,"3JAH3","RAB1A","RAB1A_3JAH3"
"95","NP_001026958","RAB11A",650.151334487074,0.0240159254809564,0.0604628091113779,0.397201615901056,0.691218790689567,0.844097329321788,FALSE,"3J27Y","RAB11A","RAB11A_3J27Y"
"96","NP_001026960","OASL",4.35621466743368,1.5289610539503,0.646626319833215,2.36452029101548,0.0180534383582411,0.0614054449421754,FALSE,"3JAJ4","OASL","OASL_3JAJ4"
"99","NP_001026967","FADD",182.043673819955,-0.0861573052149682,0.126130709585975,-0.683079525182885,0.494556592528592,0.713490830919125,FALSE,"3J6HF","-","-_3J6HF"
"109","NP_001032225","ADRA2B",4.42396388211335,-0.428369920956613,0.558188085709515,-0.767429352083196,0.442826282551968,0.670547546518073,FALSE,"3JG1R","ADRA2B","ADRA2B_3JG1R"
"111","NP_001032399","ST8SIA4",1404.17201123724,0.0378418517694476,0.0683909412176985,0.553316727269353,0.580046548947713,0.774530341363147,FALSE,"3J4W8","ST8SIA4","ST8SIA4_3J4W8"
"113","NP_001033050","PSMB9",1008.52923815607,0.447222330337395,0.0948895304078767,4.71308402955561,2.43995519735777e-06,2.2623954142457e-05,TRUE,"3J56K","-","-_3J56K"
"114","NP_001033054","ID2",1309.9290828309,0.360164165617828,0.0924187414106085,3.89709013691985,9.73553918164982e-05,0.000657293367543045,TRUE,"3JGGB","ID2","ID2_3JGGB"
"117","NP_001033093","MMP9",20381.9130064293,-0.30976289907988,0.0861849000468869,-3.59416671495078,0.000325431420152384,0.00195224523882553,TRUE,"3J9CT","MMP9","MMP9_3J9CT"
"118","NP_001033096","SRSF1",4737.05964677329,-0.0198578412772005,0.0440605567866185,-0.450694288167312,0.652209899603986,0.821272207003418,FALSE,"3J5HP","SRSF1","SRSF1_3J5HP"
"120","NP_001033720","PTGES",81.3659609899579,4.07950105260819,0.458023918549776,8.90674239355221,5.25539834251166e-19,2.09982086935811e-17,TRUE,"3JGH1","PTGES","PTGES_3JGH1"
"125","NP_001033735","TMEM57",714.523836454617,0.0588893887101907,0.0579795157176736,1.01569300780206,0.309775598739097,0.538140870592377,FALSE,"3J5DT","TMEM57","TMEM57_3J5DT"
"126","NP_001034835","FABP5",2705.18559646984,-0.18930288954053,0.059243515113788,-3.19533520549783,0.00139668519763027,0.00706249145132484,TRUE,"3JGMM","FABP5","FABP5_3JGMM"
"132","NP_001037996","CD70",8.31131953615116,0.0173395034055661,0.422307762949232,0.0410589265148096,0.967248918864717,0.98570904436768,FALSE,"3JGKJ","CD70","CD70_3JGKJ"
"134","NP_001038002","NRAS",873.296178091711,0.0835679351892017,0.0793864087690958,1.05267307697805,0.292490851999455,0.518838264292233,FALSE,"3J80N","NRAS","NRAS_3J80N"
"137","NP_001038018","SELENOK",905.949839184861,0.174170622231634,0.0587402811083502,2.9650968457295,0.00302587656979645,0.0137555236230475,TRUE,"3JHAK","SELENOK","SELENOK_3JHAK"
"138","NP_001038019","NDUFB6",310.252482454638,0.170284197523405,0.0907798090048782,1.8757937408114,0.0606836078098493,0.165863991163704,FALSE,"3JGY9","NDUFB6","NDUFB6_3JGY9"
"140","NP_001038024","PPP1CA",2544.83892968901,-0.151971155695338,0.0581104842678483,-2.61521062180206,0.00891724479617933,0.0343657360441869,TRUE,"3J31R","PPP1CA","PPP1CA_3J31R"
"143","NP_001038028","CCR10",4.49574175942473,-1.02687857806905,0.533352859622302,-1.92532684421387,0.0541884813394423,0.151857700415937,FALSE,"3J36W","CCR10","CCR10_3J36W"
"144","NP_001038029","SFN",5.93756160464278,0.440393948912295,0.510774871165563,0.862207547343388,0.388573317219657,0.619952207985777,FALSE,"3J6I6","SFN","SFN_3J6I6"
"149","NP_001038043","GRN",6849.07565318301,-0.380763995449457,0.0779155404044766,-4.88688127519655,1.02445828721924e-06,1.01264674613253e-05,TRUE,"3JEX3","GRN","GRN_3JEX3"
"155","NP_001038057","F10",14.5426653156101,-0.742050312217115,0.291683810845138,-2.54402296125748,0.0109583880821824,0.0406260449956787,TRUE,"3JB4F","F10","F10_3JB4F"
"157","NP_001038064","GADD45A",631.943580922056,-0.81104526800378,0.0849418413696601,-9.54824212574078,1.31915542508559e-21,6.52351034996675e-20,TRUE,"3J2D4","GADD45A","GADD45A_3J2D4"
"158","NP_001038065","RGS2",1485.09477833644,-0.293179390098915,0.0608000637510498,-4.82202438634536,1.42108566903781e-06,1.36669349489595e-05,TRUE,"3J4WK","RGS2","RGS2_3J4WK"
"161","NP_001038071","ATP5O",1931.16757866744,0.0600131278655231,0.0470069135383474,1.276687264663,0.201712679386844,0.402270020224307,FALSE,"3J48W","ATP5O","ATP5O_3J48W"
"163","NP_001038076","ALDH2",3119.42125722485,-0.321807931271827,0.0544612623848832,-5.90893264643,3.44331441563628e-09,4.88663506776449e-08,TRUE,"3JEDZ","ALDH2","ALDH2_3JEDZ"
"168","NP_001041535","JPT2",415.914229535304,-0.217721483873095,0.0700151536662705,-3.10963373601765,0.001873194634996,0.00908977367919851,TRUE,"3J7DG","HN1L","HN1L_3J7DG"
"169","NP_001041536","NIP7",320.045375772236,0.230617356188877,0.0900830493359257,2.56005272788767,0.0104656283107764,0.0391480124117859,TRUE,"3J8MQ","NIP7","NIP7_3J8MQ"
"171","NP_001041538","ARL6IP5",1686.70234441866,-0.0287944052897983,0.0458421130269018,-0.628121248968185,0.529924514081225,0.738905257173006,FALSE,"3J7IC","ARL6IP5","ARL6IP5_3J7IC"
"176","NP_001070685","SRSF6",2652.41024229423,0.259676885046767,0.0571020055096255,4.54759658140193,5.4262021103628e-06,4.71606898649515e-05,TRUE,"3JCSK","SRSF6","SRSF6_3JCSK"
"181","NP_001072132","NAXE",371.607561452934,-0.309882315131408,0.081946373573028,-3.78152566879913,0.000155870146276036,0.00100199719880009,TRUE,"3J1PP","APOA1BP","APOA1BP_3J1PP"
"184","NP_001072143","SH2D1A",115.927725690468,-0.0129541568189855,0.116763754040466,-0.110943305355668,0.911661304837229,0.962103789328776,FALSE,"3JGGN","SH2D1A","SH2D1A_3JGGN"
"188","NP_001078912","SELENOF",1551.59401990222,-0.000741236138790665,0.0484773534357708,-0.0152903590286288,0.987800533966298,0.99473858455427,FALSE,"3JB1M","SELENOF","SELENOF_3JB1M"
"189","NP_001087204","SEPHS2",1803.12444709803,-0.0879119708309396,0.0531269959040617,-1.65475139964047,0.0979749360906852,0.240061810231679,FALSE,"3J66Q","SEPHS2","SEPHS2_3J66Q"
"190","NP_001090884","LY86",835.882256489176,0.0262634420770497,0.0780384127691174,0.336545057044562,0.736459880334159,0.871704039016309,FALSE,"3JGRB","LY86","LY86_3JGRB"
"193","NP_001090889","EPAS1",837.40225119877,0.817458704128878,0.195467163308211,4.18207687825252,2.88858255494021e-05,0.000216434374044071,TRUE,"3JFSF","EPAS1","EPAS1_3JFSF"
"195","NP_001090899","ACKR4",6.57492158029545,1.52976552858114,0.59315681516161,2.57902377495965,0.00990799672496457,0.0374978553958785,TRUE,"3JDI7","ACKR4","ACKR4_3JDI7"
"197","NP_001090908","CPE",16.0275847929612,-0.0521863261035882,0.275997399928173,-0.18908267294246,0.850028021513637,0.932745566956789,FALSE,"3JEJJ","CPE","CPE_3JEJJ"
"200","NP_001090914","CD14",2070.05482416772,0.918410275285902,0.126929846464575,7.235573829692,4.63564870691489e-13,1.02181915489244e-11,TRUE,"3JCDA","CD14","CD14_3JCDA"
"205","NP_001090924","CAPZA2",1543.72772770515,0.0435206819514886,0.0596189215121652,0.729981033665767,0.46540177794527,0.688776867932361,FALSE,"3JBE0","CAPZA2","CAPZA2_3JBE0"
"211","NP_001090936","TOMM7",252.698625158191,0.024876731382242,0.0793883157029541,0.313355071989723,0.754010913900298,0.88268012913771,FALSE,"3JI7Q","TOMM7","TOMM7_3JI7Q"
"214","NP_001090939","NDUFC1",285.394000207083,0.137421879200293,0.0870947258557811,1.57784386884515,0.114601482850322,0.269239314088315,FALSE,"3JHT2","NDUFC1","NDUFC1_3JHT2"
"219","NP_001090946","RPL10A",9732.16621080221,0.0627563863053689,0.0477153491444089,1.3152242921966,0.188434533304984,0.384004010119008,FALSE,"3J9NB","RPL10A","RPL10A_3J9NB"
"224","NP_001090953","COX7A2",754.976914538591,0.118430406855438,0.0628322081613613,1.88486781415183,0.0594476864975019,0.163349489343514,FALSE,"3JHYP","COX7A2","COX7A2_3JHYP"
"225","NP_001090954","HSBP1",644.854796075062,-0.0713613740016061,0.0609572914282015,-1.17067822945609,0.241728139223012,0.456663025499259,FALSE,"3JHUK","HSBP1","HSBP1_3JHUK"
"229","NP_001090974","BTG2",3044.87155740914,1.21905607811658,0.233932832684477,5.21113716329345,1.87686618989671e-07,2.07391282809766e-06,TRUE,"3J27S","BTG2","BTG2_3J27S"
"232","NP_001090977","ADSS",999.141891743112,-0.232413193089404,0.0805466149896732,-2.88544953899305,0.00390855113859272,0.017155593253288,TRUE,"3JFRF","ADSS","ADSS_3JFRF"
"239","NP_001090990","PGRMC2",640.810717090679,-0.235231874440886,0.0600683300150527,-3.91607148695392,9.00035703070034e-05,0.000612749765765278,TRUE,"3JCP6","PGRMC2","PGRMC2_3JCP6"
"242","NP_001092060","HPS6",198.429717514361,-0.629342232949029,0.10521792397316,-5.98132151998708,2.213344922776e-09,3.22200321906837e-08,TRUE,"3J79E","HPS6","HPS6_3J79E"
"244","NP_001092062","BLOC1S6",391.244718367361,0.136769881719434,0.103227127993533,1.32494126667945,0.185190632364891,0.379341743159731,FALSE,"3J9HP","BLOC1S6","BLOC1S6_3J9HP"
"252","NP_001093400","FASN",1332.70957715949,-0.154746480666946,0.0815287963703846,-1.89805918345628,0.0576882861703679,0.159336223142731,FALSE,"3J2HX","FASN","FASN_3J2HX"
"257","NP_001093658","CAPN2",1895.60430653008,0.279799819694109,0.0869707326814229,3.2171721574317,0.00129460890079828,0.0066030859361792,TRUE,"3JAJC","CAPN2","CAPN2_3JAJC"
"258","NP_001093659","SLC9A2",0.548546064969877,0.0688756538626128,1.64063657686473,0.041981054691731,0.966513800966863,NA,FALSE,"3J6B1","SLC9A2","SLC9A2_3J6B1"
"259","NP_001093662","PPP2R5A",2030.05608494981,-0.0203287902024427,0.050205016892013,-0.404915513646143,0.685539614503423,0.84137769678749,FALSE,"3J224","PPP2R5A","PPP2R5A_3J224"
"260","NP_001093663","EIF4A3",1808.61013847949,0.123958990470069,0.0474165386529125,2.61425641752226,0.00894218973522237,0.0344307603413742,TRUE,"3J5XB","EIF4A3","EIF4A3_3J5XB"
"269","NP_001095295","NELFE",419.041951812226,-0.0572454232228262,0.0764124549733825,-0.74916351323573,0.453758657712136,0.679980365325143,FALSE,"3J90D","NELFE","NELFE_3J90D"
"271","NP_001096682","STC1",0.430811944958412,-0.83892839945538,1.99219320894668,-0.421107950618374,0.67367625614437,NA,FALSE,"3J1G0","STC1","STC1_3J1G0"
"272","NP_001096683","BCL10",701.247741980211,0.374534213691567,0.0585250549178357,6.39955339157531,1.55832083022015e-10,2.59633903167831e-09,TRUE,"3J6Z9","-","-_3J6Z9"
"275","NP_001098761","LNPEP",4044.9110693874,-0.11394790881508,0.208798169908565,-0.545732315876999,0.585249954799481,0.77774593809979,FALSE,"3J5KE","LNPEP","LNPEP_3J5KE"
"278","NP_001098768","TOR1A",194.441546513106,-0.0303081602169246,0.100278032840204,-0.302241272175947,0.762468143873534,0.887162859075657,FALSE,"3J575","TOR1A","TOR1A_3J575"
"280","NP_001098775","SEC62",1048.42062164826,-0.00366927053807362,0.0537835931606127,-0.0682228598434501,0.945608229840053,0.976279697990992,FALSE,"3JDK8","SEC62","SEC62_3JDK8"
"286","NP_001103528","TUSC5",0.401699026201587,0.942994390449655,2.29015747598611,0.411759628033271,0.68051561512952,NA,FALSE,"3JDFH","TUSC5","TUSC5_3JDFH"
"288","NP_001103643","STC2",4.38432310186626,0.223249277790508,0.55539804058442,0.401962667271193,0.687711501495645,0.842675462022937,FALSE,"3JDNP","STC2","STC2_3JDNP"
"292","NP_001103902","RTFDC1",884.167513701355,0.0299270883592809,0.0632467158770602,0.473180116062526,0.636084682509829,0.811607712443058,FALSE,"3JDDP","RTFDC1","RTFDC1_3JDDP"
"294","NP_001104728","IFNGR2",3086.2623896721,0.354555645646976,0.0447722923665948,7.91908626754869,2.39262309035295e-15,6.84908431954895e-14,TRUE,"3J1JU","IFNGR2","IFNGR2_3J1JU"
"295","NP_001106146","SUMO1",443.01711729829,0.0685563429100492,0.0661920874675919,1.03571809762934,0.300333676792437,0.527648322495703,FALSE,"3JH1B","SUMO1","SUMO1_3JH1B"
"300","NP_001106161","TNFSF12",493.673758453644,-0.689100856395273,0.100851368822371,-6.83283592916803,8.3252155436189e-12,1.59771093801667e-10,TRUE,"3JNWU","TNFSF12","TNFSF12_3JNWU"
"311","NP_001106758","LDHB",18.2464611559083,0.413971022330149,0.316064977794139,1.30976555902938,0.190275157631334,0.386635553805879,FALSE,"3J7F8","-","-_3J7F8"
"312","NP_001106759","TAS1R3",71.3335084406895,-0.395602807690678,0.15128826519734,-2.61489420329233,0.00892550975580865,0.0343898197705175,TRUE,"3JCCF","TAS1R3","TAS1R3_3JCCF"
"315","NP_001106913","UNC45B",1.30738694951095,0.924795478002769,1.00521029476624,0.920001996415914,0.357571715957441,NA,FALSE,"3JEZM","UNC45B","UNC45B_3JEZM"
"316","NP_001106915","CAPZB",4321.32891426622,-0.0637124351384352,0.0447777499731295,-1.42285923648839,0.154776965184597,0.334174867503722,FALSE,"3JBNN","CAPZB","CAPZB_3JBNN"
"323","NP_001107169","PRELID3B",730.294304171491,0.0584710072597811,0.076490651472796,0.76442030671652,0.444616811259886,0.671864710661448,FALSE,"3J5GZ","SLMO2","SLMO2_3J5GZ"
"324","NP_001107172","FAM209B",25.8588996709668,0.0386629742953886,0.230419806349544,0.167793623768338,0.866745638876569,0.941282453524707,FALSE,"3JE7D","FAM209A","FAM209A_3JE7D"
"337","NP_001107759","SGCB",28.2824741934362,-0.643404297273825,0.215409878028886,-2.98688390319568,0.00281836729221414,0.0129328037580595,TRUE,"3JA23","SGCB","SGCB_3JA23"
"338","NP_001107760","SPCS1",1047.36231211593,0.0446172656454561,0.0542972404299682,0.821722527556493,0.411234834866117,0.642925813642669,FALSE,"3JGGU","SPCS1","SPCS1_3JGGU"
"343","NP_001116458","RTCB",1177.50108739087,0.0724040586065767,0.0591557566601207,1.22395625877248,0.220968728819992,0.429574690337042,FALSE,"3J400","RTCB","RTCB_3J400"
"344","NP_001116459","HK2",475.251663938724,0.671908768990568,0.240172750778501,2.79760616811287,0.00514828443457655,0.0217359269335092,TRUE,"3JEIG","HK2","HK2_3JEIG"
"346","NP_001116463","ASCL2",3.4988035847735,-0.355983227329205,0.632405705701477,-0.562903250428997,0.573500766732047,NA,FALSE,"3JG0D","ASCL2","ASCL2_3JG0D"
"347","NP_001116466","OAZ1",8211.30511957502,0.0546010724378122,0.049850023630022,1.09530685166875,0.273382226781238,0.496336239859522,FALSE,"3J8RW","OAZ1","OAZ1_3J8RW"
"348","NP_001116467","OAZ2",595.99934644952,-0.297269393904301,0.0658276119782055,-4.51587692415035,6.30552805678471e-06,5.42230918229858e-05,TRUE,"3JEXY","OAZ2","OAZ2_3JEXY"
"349","NP_001116514","SLC3A1",15.8400244712053,-0.0567039846275301,0.344992101747537,-0.164363138577085,0.869445280042148,0.94253909189587,FALSE,"3JFMW","-","-_3JFMW"
"351","NP_001116546","ADRB1",1.26479970397003,-0.36724490806259,1.12852316937957,-0.325420795981079,0.744862618390079,NA,FALSE,"3J7NX","ADRB1","ADRB1_3J7NX"
"353","NP_001116561","C4A",46.0164643411398,0.0331969992182681,0.167993706763971,0.197608588189018,0.8433513149067,0.928884233933068,FALSE,"3JFTA","C4A","C4A_3JFTA"
"358","NP_001116569","CDK4",1306.85267374751,-0.175728627772338,0.0638009717694428,-2.75432525396898,0.00588132876128891,0.0243251757566909,TRUE,"3J2FB","CDK4","CDK4_3J2FB"
"359","NP_001116576","CTSZ",9013.7951053577,-0.595057314221895,0.0936967626031763,-6.35088446697008,2.14080450729514e-10,3.50857499509725e-09,TRUE,"3JCV0","CTSZ","CTSZ_3JCV0"
"363","NP_001116596","HIF1A",6514.59111848813,0.467189579642895,0.0763013270778233,6.12295483624271,9.18557380587171e-10,1.40804200091624e-08,TRUE,"3JBFW","HIF1A","HIF1A_3JBFW"
"365","NP_001116601","IGFBP4",39.6263717970472,-0.0176934002639511,0.234959149281637,-0.0753041552884696,0.939972715430217,0.974438214672235,FALSE,"3JB87","IGFBP4","IGFBP4_3JB87"
"368","NP_001116608","LSM2",311.070571760154,-0.104821500263655,0.0722198471844051,-1.45142234926094,0.146662290159821,0.321042511215897,FALSE,"3JHBS","LSM2","LSM2_3JHBS"
"369","NP_001116611","MOG",9.81486118523358,0.313335666255095,0.354670264871455,0.88345626146206,0.376989804364628,0.609247234277249,FALSE,"3J3WE","MOG","MOG_3J3WE"
"375","NP_001116632","PFDN4",291.890925073738,0.0869830071953776,0.0774880210165552,1.12253489060966,0.261635081236551,0.48095637549583,FALSE,"3JGDQ","PFDN4","PFDN4_3JGDQ"
"376","NP_001116634","PHGDH",99.0193041892853,0.0297942153654481,0.133570568949233,0.223059732393386,0.82348901767824,0.918751381808034,FALSE,"3J3US","-","-_3J3US"
"380","NP_001116644","PYGL",3666.88213925408,-0.160423146289439,0.0452882989169786,-3.54226478198095,0.000396707048995319,0.00231788320647573,TRUE,"3JC47","PYGL","PYGL_3JC47"
"382","NP_001116646","RAB22A",2127.29266374509,-0.0551968593554372,0.0470510706533933,-1.17312653227491,0.240745068088792,0.455360488543556,FALSE,"3J3IQ","RAB22A","RAB22A_3J3IQ"
"383","NP_001116648","RAB32",293.245322240168,-0.792182244112425,0.10582001431504,-7.48612868028911,7.09348500084776e-14,1.75903993603872e-12,TRUE,"3JDHQ","RAB32","RAB32_3JDHQ"
"385","NP_001116657","RAP2B",426.939713519381,-0.717395847763448,0.0960459411965929,-7.46929895033291,8.06231869332451e-14,1.98773438189031e-12,TRUE,"3JFQV","RAP2B","RAP2B_3JFQV"
"391","NP_001116677","TOB1",657.13526203381,0.598776350216779,0.07588534252725,7.8905402581765,3.00881134081307e-15,8.51299009711637e-14,TRUE,"3J9TW","TOB1","TOB1_3J9TW"
"395","NP_001116684","UPK1B",23.8608023023034,-0.0657466909536441,0.250390750346803,-0.262576356604954,0.792877125458449,0.901758325274755,FALSE,"3J2WI","UPK1B","UPK1B_3J2WI"
"401","NP_001121905","SLC2A4",0.256891259899596,0.2216045196437,3.04884453189582,0.0726847555935899,0.9420569797333,NA,FALSE,"3J5RI","-","-_3J5RI"
"402","NP_001121914","GATM",776.396595551368,-0.0870879899632472,0.0542804198096087,-1.60440892440981,0.108623945137999,0.259411132138773,FALSE,"3J82G","GATM","GATM_3J82G"
"404","NP_001121918","RNF39",3.43586382328776,-2.05817563613646,0.711283348766481,-2.8936086296773,0.00380842529065379,NA,FALSE,"3JFR0","-","-_3JFR0"
"408","NP_001121927","AKIRIN1",634.023175686192,0.186130211071559,0.0728907792430416,2.55354947504321,0.0106631128377821,0.0397646706285027,TRUE,"3J3Z9","AKIRIN1","AKIRIN1_3J3Z9"
"409","NP_001121929","PRPF19",1350.52377356814,-0.151964362381664,0.0515997488599456,-2.94506011636088,0.00322891919065961,0.0145582955369566,TRUE,"3JEMM","PRPF19","PRPF19_3JEMM"
"416","NP_001121942","FITM1",3.46892948079137,-0.296136484584717,0.689461649797416,-0.429518428866537,0.667545985391564,NA,FALSE,"3JCTG","FITM1","FITM1_3JCTG"
"418","NP_001121950","GNL1",456.120264277447,0.327257413718357,0.0871045621275679,3.75706398981808,0.000171918547040115,0.0010960771042793,TRUE,"3J5MW","GNL1","GNL1_3J5MW"
"419","NP_001121954","MGAT2",678.73202486833,-0.247308000894682,0.068568095761917,-3.60675031363548,0.000310055750405031,0.0018705308195404,TRUE,"3J6QK","MGAT2","MGAT2_3J6QK"
"421","NP_001123277","CPT1A",1826.07456553789,-0.104513131092939,0.0546561495892438,-1.91219344718544,0.0558513862996369,0.15534406613272,FALSE,"3JF6G","CPT1A","CPT1A_3JF6G"
"424","NP_001123426","RPS20",11696.1483407638,0.00657982618782491,0.0722281874539816,0.0910977614109046,0.9274149113837,0.969583050623035,FALSE,"3JGT6","RPS20","RPS20_3JGT6"
