"","MacProtein","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","eggNOG_OGs","Preferred_name","ortho_gene"
"186","NP_001177824","NUDT18",34.8644497292054,0.683915012543699,0.156237644839054,4.37740221473655,1.20102215533561e-05,0.000107865845638908,TRUE,"3J23T","NUDT18","NUDT18_3J23T"
"187","NP_001177837","SCAND1",225.941450195471,0.402850655687053,0.0853447283276464,4.72027579888088,2.35525080061991e-06,2.58405687686964e-05,TRUE,"3JGK0","SCAND1","SCAND1_3JGK0"
"191","NP_001177896","TERT",2.46060890819816,-0.356020932204355,0.373165162651261,-0.954057258922299,0.340054659456989,0.497504055480278,FALSE,"3JA5H","TERT","TERT_3JA5H"
"192","NP_001180275","SPTSSA",369.628505270168,0.241120415180813,0.0662063307612896,3.64195406101246,0.000270576365837302,0.00161423911109085,TRUE,"3JHTC","SPTSSA","SPTSSA_3JHTC"
"194","NP_001180287","IGIP",3.05511480926521,0.0307175347253142,0.289797428548634,0.105996574500864,0.915585070028762,0.950469754852563,FALSE,"3JI87","IGIP","IGIP_3JI87"
"196","NP_001180294","HILPDA",18.1875173459428,-0.64470480527747,0.192400851299241,-3.35084175004382,0.000805663289799564,0.00408753127736471,TRUE,"3JI5X","HILPDA","HILPDA_3JI5X"
"201","NP_001180323","GCHFR",3.44868616426876,0.389843459605419,0.293249979471179,1.32938955463331,0.183719482149705,0.320360010287281,FALSE,"3JHJB","GCHFR","GCHFR_3JHJB"
"203","NP_001180348","MRPL33",126.229253620844,0.0387737415138244,0.0754215715907301,0.514093523855846,0.607186604994469,0.733801695902055,FALSE,"3JI6H","MRPL33","MRPL33_3JI6H"
"204","NP_001180349","MRPL34",244.708119386817,0.302853991706115,0.0754572194688493,4.01358536450102,5.98033606302192e-05,0.000441695808605291,TRUE,"3JHTX","MRPL34","MRPL34_3JHTX"
"206","NP_001180366","SCGB1C1",2.67216481832615,-0.0287960457752328,0.34910746994121,-0.0824847597219335,0.934261237014522,0.962367718652274,FALSE,"3JHV5","SCGB1C1","SCGB1C1_3JHV5"
"209","NP_001180408","ARL5B",532.692217475641,-1.68777000809545,0.150355902511339,-11.2251662881553,3.06808744653262e-29,4.4646891443225e-27,TRUE,"3J7CB","ARL5B","ARL5B_3J7CB"
"211","NP_001180430","THAP2",52.721506542773,-0.224031977501168,0.102698934308243,-2.18144403357442,0.0291505897197797,0.0781449154586627,FALSE,"3J9H0","THAP2","THAP2_3J9H0"
"212","NP_001180435","TERB2",0.514118326645637,0.0801704312700782,2.49059874957435,0.0321892200756061,0.974321152859264,NA,FALSE,"3JDJ3","C15orf43","C15orf43_3JDJ3"
"218","NP_001180508","RPS10",8823.07713289336,0.0174491736402144,0.0713143282404004,0.244679772925762,0.806704390929148,0.879562216748901,FALSE,"3JC1R","RPS10","RPS10_3JC1R"
"219","NP_001180509","RPS23",8649.25677885939,0.0432248744766759,0.0711427209150217,0.607579720324542,0.543466254405183,0.681853958857609,FALSE,"3J51S","RPS23","RPS23_3J51S"
"221","NP_001180521","SNRPD2",344.889770192982,0.0758791930060378,0.0697723992618046,1.08752449118625,0.276805080904469,0.431059365686157,FALSE,"3JGGW","SNRPD2","SNRPD2_3JGGW"
"222","NP_001180526","EDF1",577.953361127982,-0.114562627045634,0.0618953678441824,-1.85090792794119,0.0641828000218103,0.144714609662159,FALSE,"3J4M3","EDF1","EDF1_3J4M3"
"224","NP_001180531","ATP6V1G1",981.777347447327,0.119566255071525,0.0798526556471176,1.49733598842233,0.134305855077473,0.253183026769012,FALSE,"3JGWH","ATP6V1G1","ATP6V1G1_3JGWH"
"228","NP_001180624","TRIB1",1029.39965325016,-0.338719787067839,0.11072020548768,-3.05924095404184,0.00221898598656981,0.00955423854313353,TRUE,"3JB8N","TRIB1","TRIB1_3JB8N"
"229","NP_001180629","TMEM106B",102.054015259744,0.13753713000305,0.0956066995256461,1.43857209469046,0.150271797418323,0.276002362357021,FALSE,"3JESZ","TMEM106B","TMEM106B_3JESZ"
"230","NP_001180631","SOWAHD",232.460594586182,2.27802280627498,0.174287308646616,13.0705030903534,4.8543418156326e-39,1.22997599627387e-36,TRUE,"3JBGK","SOWAHD","SOWAHD_3JBGK"
"232","NP_001180634","EPOP",31.9785116340815,-1.87163145955518,0.227761325754197,-8.21751214064795,2.07768210767765e-16,1.06287504876612e-14,TRUE,"3JF8B","C17orf96","C17orf96_3JF8B"
"234","NP_001180636","TIMM21",91.6744944319592,0.108187631820713,0.10245656771199,1.05593652253541,0.290997216697971,0.446887512427331,FALSE,"3JAKN","TIMM21","TIMM21_3JAKN"
"235","NP_001180637","HSPA13",141.667903429735,-0.169498161801156,0.0846037289515661,-2.00343606483575,0.0451305036775179,0.110165695068579,FALSE,"3J76Q","HSPA13","HSPA13_3J76Q"
"237","NP_001180641","ITPRIPL2",10.386199693666,1.17464775199113,0.236441760307334,4.96802151389962,6.76394600339116e-07,8.53771965619392e-06,TRUE,"3J3EB","ITPRIPL2","ITPRIPL2_3J3EB"
"238","NP_001180642","FAM20C",34.71907070356,1.51116367063136,0.182513498815797,8.27973646024131,1.23448174359381e-16,6.40651405103129e-15,TRUE,"3JES4","FAM20C","FAM20C_3JES4"
"239","NP_001180643","HIST1H3D",33.9666759344992,-0.28245051572277,0.178282513811238,-1.58428614048949,0.113128618291421,0.221777812865677,FALSE,"3JPM0","-","-_3JPM0"
"240","NP_001180646","SHISAL2B",0.734464742841255,0.456697921572528,0.878750079128249,0.519713092971312,0.603263559911562,NA,FALSE,"3JD4I","FAM159B","FAM159B_3JD4I"
"242","NP_001180655","TCEAL8",72.5187875993279,0.500199989393228,0.0981928740553081,5.09405589973347,3.50483352916346e-07,4.74441230154579e-06,TRUE,"3JGXQ","TCEAL8","TCEAL8_3JGXQ"
"243","NP_001180656","ABHD16B",88.5493147218639,0.076210087742252,0.141083849795635,0.540175844738041,0.589075769327181,0.71929497924932,FALSE,"3JBGR","ABHD16B","ABHD16B_3JBGR"
"244","NP_001180657","GINM1",157.033327946219,-0.00379882827125853,0.0604946883661711,-0.0627960631562299,0.949928900829997,0.971331296444672,FALSE,"3JB0K","GINM1","GINM1_3JB0K"
"248","NP_001180672","MRPL57",51.3048020958684,0.333514056120303,0.115610990115724,2.88479543152829,0.00391668076164631,0.0153338658837998,TRUE,"3JHKM","MRPL57","MRPL57_3JHKM"
"249","NP_001180675","CBR3",5.99169344564386,-0.174063230540612,0.215549574579861,-0.807532238835951,0.41935990837996,0.575290114059,FALSE,"3JCUJ","CBR3","CBR3_3JCUJ"
"250","NP_001180678","SPCS1",564.039991872581,0.188633635783799,0.0899614823580287,2.09682667336533,0.0360089214788424,0.0921050049750391,FALSE,"3JGGU","SPCS1","SPCS1_3JGGU"
"253","NP_001180686","SNX12",684.88334100172,-0.232561783889277,0.0774049044619377,-3.00448383091325,0.00266031898622215,0.0111296212133385,TRUE,"3J8TK","SNX12","SNX12_3J8TK"
"257","NP_001180698","CNIH1",327.252022985004,0.316089152701348,0.0772847057419847,4.08993150283334,4.31500601670752e-05,0.000332994676220963,TRUE,"3J345","CNIH1","CNIH1_3J345"
"264","NP_001180718","TMEM190",4.53930565387512,-0.165934473074488,0.365576356789433,-0.453898262272097,0.649902054361239,0.767664907430833,FALSE,"3J31S","TMEM190","TMEM190_3J31S"
"266","NP_001180725","FAM104A",289.785594738103,0.13590389850962,0.0915202777651415,1.48495941913961,0.13755457429012,0.258013661947945,FALSE,"3JBCV","FAM104A","FAM104A_3JBCV"
"273","NP_001180746","RAB22A",865.033514839938,-0.0404760298975698,0.0383182356294771,-1.05631246409563,0.290825483365399,0.446691515849422,FALSE,"3J3IQ","RAB22A","RAB22A_3J3IQ"
"275","NP_001180755","CDNF",1.11966111740994,-0.232759379943661,0.530877790097043,-0.438442489562641,0.661065551202932,NA,FALSE,"3JDDE","CDNF","CDNF_3JDDE"
"277","NP_001180760","NOL12",180.02583628052,-0.323224819363017,0.0793156296902796,-4.07517182458465,4.59803839295982e-05,0.000351162953436793,TRUE,"3JBPQ","NOL12","NOL12_3JBPQ"
"278","NP_001180761","RAP2A",2068.97845256762,-0.00304746482148273,0.102406448960264,-0.0297585245111392,0.976259636750041,0.986335028225624,FALSE,"3J5SJ","RAP2A","RAP2A_3J5SJ"
"279","NP_001180764","MBLAC2",66.7488535871334,0.285105660816739,0.086743307744871,3.28677414118551,0.00101342079257528,0.00496272023867526,TRUE,"3J8YG","MBLAC2","MBLAC2_3J8YG"
"283","NP_001180783","SLC20A1",1520.38414500234,-0.0579626848432297,0.0549142535050235,-1.05551256993646,0.291190963690078,0.447061575776534,FALSE,"3JPK6","SLC20A1","SLC20A1_3JPK6"
"285","NP_001180790","CYC1",636.831476895093,0.175275072810481,0.0492007918407601,3.56244414475614,0.000367418097063061,0.00208788484338975,TRUE,"3J4X6","CYC1","CYC1_3J4X6"
"286","NP_001180793","C14H11orf58",568.870544535742,0.123124001866621,0.0632811776950396,1.9456654624851,0.0516949379305283,0.122191377373638,FALSE,"3JCFJ","C11orf58","C11orf58_3JCFJ"
"288","NP_001180795","H2AFJ",439.381573487981,0.28152621963044,0.0845567100166975,3.3294367717813,0.000870218200530118,0.00437077644235475,TRUE,"3JGGD","H2AFJ","H2AFJ_3JGGD"
"289","NP_001180800","RTF2",682.410227009969,-0.187227304967643,0.0660359720678513,-2.83523205769226,0.00457924096108983,0.0174615992526543,TRUE,"3JDDP","RTFDC1","RTFDC1_3JDDP"
"291","NP_001180817","NRDE2",303.297477297997,-0.155687269225813,0.069206322872782,-2.24961048012916,0.0244736825981713,0.0680730598110312,FALSE,"3JD6P","NRDE2","NRDE2_3JD6P"
"292","NP_001180823","RAB32",275.497693898099,-0.0952348459967018,0.11370288155438,-0.837576363015519,0.402268672649367,0.559451143151842,FALSE,"3JDHQ","RAB32","RAB32_3JDHQ"
"293","NP_001180825","MAIP1",37.5798051364288,-0.0966722926748723,0.115676521570496,-0.83571230671868,0.40331677018546,0.560293703120961,FALSE,"3J7ZK","C2orf47","C2orf47_3J7ZK"
"295","NP_001180837","UTP23",90.8844414819344,0.0719997551661747,0.079764499530679,0.902654132976566,0.366709486708838,0.524911751644839,FALSE,"3JA40","UTP23","UTP23_3JA40"
"296","NP_001180839","GADD45G",156.142956011795,0.363322226610698,0.155147918890159,2.34177956887659,0.0191920462381952,0.0559549343213767,FALSE,"3J2R2","GADD45G","GADD45G_3J2R2"
"301","NP_001180851","RGCC",364.177415916954,0.0461740614363881,0.0688759167469884,0.670394872652015,0.502606102334157,0.648198041016402,FALSE,"3JGF1","RGCC","RGCC_3JGF1"
"302","NP_001180853","FAM241A",144.427201925716,-0.762867891807084,0.103706039505233,-7.35606041313139,1.89417315366914e-13,7.16956189992482e-12,TRUE,"3JH6V","C4orf32","C4orf32_3JH6V"
"303","NP_001180854","MRC1",28.2064462977926,1.23249265510146,0.225259822873081,5.47142690330487,4.46426471535179e-08,7.45324567244431e-07,TRUE,"3J1QM","MRC1","MRC1_3J1QM"
"304","NP_001180855","ATRAID",121.840926903281,0.303897913321863,0.0725238327389237,4.19031788372045,2.78563919079518e-05,0.000225627345814802,TRUE,"3JB3Z","ATRAID","ATRAID_3JB3Z"
"305","NP_001180859","PTGDS",3.28985661155248,0.0834020505195024,0.265300448634396,0.314368298089223,0.753241330979038,0.843782302366355,FALSE,"3JBCY","PTGDS","PTGDS_3JBCY"
"306","NP_001180860","INSYN2B",14.9201269965969,-0.20049513096796,0.212681802179408,-0.94269998144379,0.34583438287026,0.503123149410754,FALSE,"3JD9K","FAM196B","FAM196B_3JD9K"
"308","NP_001180862","FAM199X",419.816868293797,0.0331834129518601,0.0474030115846079,0.700027526576707,0.483910114048068,0.632251411433492,FALSE,"3JB79","FAM199X","FAM199X_3JB79"
"311","NP_001180874","TAF7",2648.43617803911,-0.232230890486239,0.0551398905448145,-4.21166760020126,2.53492371769598e-05,0.000206954708521677,TRUE,"3J5K3","TAF7","TAF7_3J5K3"
"312","NP_001180880","GJA10",1.11451468261613,-0.952992087318839,0.724031771040243,-1.31622965377561,0.188096973572322,NA,FALSE,"3J4HC","GJA10","GJA10_3J4HC"
"316","NP_001180887","CYP2R1",64.7508197768112,-0.0760798151624061,0.106337911993727,-0.715453348067376,0.474328957969328,0.624007254766686,FALSE,"3J3D2","CYP2R1","CYP2R1_3J3D2"
"317","NP_001180888","ENKD1",46.554719332279,-0.0244969020557696,0.0895569994080826,-0.273534198529196,0.784442607679907,0.864657374563803,FALSE,"3JCS0","ENKD1","ENKD1_3JCS0"
"318","NP_001180890","GON7",72.5043041710093,0.29855351014219,0.101383584038641,2.94479143712656,0.00323172427325908,0.0130756426213002,TRUE,"3JHGT","C14orf142","C14orf142_3JHGT"
"320","NP_001180893","CCDC174",273.68603983162,0.0901912358504984,0.0683166771846151,1.3201935393721,0.186770408460181,0.324210065850482,FALSE,"3J8HN","CCDC174","CCDC174_3J8HN"
"321","NP_001180896","SHISA2",9.83259049763141,-0.429317236325953,0.21651227955666,-1.98287707840425,0.0473811615922911,0.11415684944772,FALSE,"3J793","SHISA2","SHISA2_3J793"
"324","NP_001180900","DRAM1",401.379063599251,-1.56066069642953,0.155887539003252,-10.0114525279469,1.3574467054559e-23,1.29359865908866e-21,TRUE,"3J1VS","DRAM1","DRAM1_3J1VS"
"325","NP_001180902","PPIC",1.53235634928136,-0.321914922157996,0.552670384918079,-0.582471814924031,0.560248920960134,NA,FALSE,"3J6TR","PPIC","PPIC_3J6TR"
"326","NP_001180904","ING2",207.59058989027,0.0487679670500832,0.0934097852994323,0.522086277082789,0.60161026072952,0.729489445630536,FALSE,"3J84V","ING2","ING2_3J84V"
"330","NP_001180913","TMED9",291.531866246522,0.424000959910864,0.0960329712937715,4.41516027462917,1.00935178800384e-05,9.27011064317219e-05,TRUE,"3J2WW","TMED9","TMED9_3J2WW"
"332","NP_001180917","ALKBH5",1307.05181104202,0.377582549636037,0.0748722328449892,5.0430251014119,4.58229112586854e-07,6.03232298152999e-06,TRUE,"3J4R4","ALKBH5","ALKBH5_3J4R4"
"336","NP_001180940","MB21D2",15.6453915302475,-1.2730099087497,0.234847162157729,-5.42058885044017,5.94030390748954e-08,9.64101923553898e-07,TRUE,"3J39K","MB21D2","MB21D2_3J39K"
"340","NP_001180950","CYP27A1",106.006372947237,2.20052998856941,0.14077797466629,15.6312093122926,4.46252734720754e-55,2.344132962849e-52,TRUE,"3JBFT","CYP27A1","CYP27A1_3JBFT"
"341","NP_001180951","ARGLU1",2258.41249912307,-0.0488907869078766,0.0648065555672639,-0.754411131403705,0.450602389605386,0.602996375353002,FALSE,"3JDZU","ARGLU1","ARGLU1_3JDZU"
"342","NP_001180953","TMEM147",231.427311221781,0.238119949478673,0.0726985470040053,3.27544303554725,0.00105496387586562,0.00513347424187028,TRUE,"3J60V","TMEM147","TMEM147_3J60V"
"343","NP_001180958","OR10P1",5.05820359937528,-3.33281961986533,1.31605229924456,-2.53243706331309,0.01132727023839,0.0367126289125968,TRUE,"3J7XA","OR10P1","OR10P1_3J7XA"
"345","NP_001180961","LIX1",5.28627638165729,0.180101690496392,0.220483690295296,0.816848131737907,0.414015222232184,0.570327014374734,FALSE,"3JFFW","LIX1","LIX1_3JFFW"
"349","NP_001180970","CFAP298",165.950685949518,0.057543755552489,0.0476179574282325,1.20844653278579,0.226875550159472,0.373993013684236,FALSE,"3JF3B","C21orf59","C21orf59_3JF3B"
